Company name;Country / Area;;;
GRUPO FERRER INTERNACIONAL S.A.;Spain;;;
Grupo Riachuelo/Guararapes;Brazil;;;
Grupo Rotoplas S.A.B. de C.V.;Mexico;;;
Gruppo Ferrovie dello Stato;Italy;;;
GSK;United Kingdom;;;
H&M Hennes & Mauritz AB;Sweden;;;
H. Lundbeck A/S;Denmark;;;
HA Sustainable Infrastructure Capital, Inc.;United States of America;;;
Hanesbrands Inc.;United States of America;;;
Hang Lung Group;Hong Kong, China;;;
Hankook Tire & Technology Co., Ltd.;Korea (The Republic of);;;
Hanwha Corp.;Korea (The Republic of);;;
Haseko Corporation;Japan;;;
Hazama Ando Corporation;Japan;;;
HD Hyundai Construction Equipment Co., LTD.;Korea (The Republic of);;;
HD Hyundai Infracore;Korea (The Republic of);;;
Heidelberg Materials;Germany;;;
Heineken N.V.;Netherlands;;;
Heinzel Holding GmbH;Austria;;;
HEIWA REAL ESTATE CO.,LTD.;Japan;;;
HENGDIAN GROUP DMEGC MAGNETICS Co., LTD;Mainland China;;;
Henkel AG & Co. KGaA;Germany;;;
Hera;Italy;;;
Hewlett Packard Enterprise Company;United States of America;;;
Hilton Food Group plc;United Kingdom;;;
Hitachi Energy;Switzerland;;;
Hitachi High-Tech Corporation;Japan;;;
Hitachi, Ltd.;Japan;;;
Hokuetsu Corporation;Japan;;;
Holcim Ltd.;Switzerland;;;
Holmen;Sweden;;;
Honda Motor Co., Ltd.;Japan;;;
HP Inc;United States of America;;;
Hulic Co., Ltd.;Japan;;;
HUNAN RESUN Co., Ltd.;Mainland China;;;
Hyundai Department Store;Korea (The Republic of);;;
Hyundai E&C;Korea (The Republic of);;;
Hyundai Glovis Co Ltd;Korea (The Republic of);;;
Hyundai Motor Co;Korea (The Republic of);;;
Hyundai Rotem Company;Korea (The Republic of);;;
HYUNDAI WIA CORPORATION;Korea (The Republic of);;;
Iberdrola SA;Spain;;;
Ichigo Inc.;Japan;;;
ICL;Israel;;;
IGA HAVALIMANI ISLETMESI ANONIM SIRKETI;Türkiye;;;
ILJI TECH CO;Korea (The Republic of);;;
Imerys SA;France;;;
Imperial Brands;United Kingdom;;;
Inditex S.A.;Spain;;;
INDRA;Spain;;;
Industrial & Infrastructure Fund Investment Corporation;Japan;;;
Industrial Bank of Korea;Korea (The Republic of);;;
INFRONEER Holdings Inc.;Japan;;;
Ingersoll Rand Inc.;United States of America;;;
Inmobiliaria Colonial;Spain;;;
Innolux Corporation;Taiwan, China;;;
Intesa Sanpaolo S.p.A;Italy;;;
Inwit (Infrastrutture Wireless Italiane SpA);Italy;;;
Iochpe-Maxion SA;Brazil;;;
IPSEN;France;;;
Iren SpA;Italy;;;
Isetan Mitsukoshi Holdings Ltd.;Japan;;;
Italgas;Italy;;;
ITALMATCH CHEMICALS SPA;Italy;;;
Itaú Unibanco Holding S.A.;Brazil;;;
Itaúsa S.A.;Brazil;;;
Ito En, Ltd.;Japan;;;
ITOCHU Corporation;Japan;;;
ITV;United Kingdom;;;
Iveco Group N.V.;Italy;;;
J Sainsbury Plc;United Kingdom;;;
J. Front Retailing Co., Ltd.;Japan;;;
JA Solar Technology Co., Ltd.;Mainland China;;;
Japan Metropolitan Fund Investment;Japan;;;
Japan Post Bank;Japan;;;
Japan Post Holdings;Japan;;;
Japan Post Insurance;Japan;;;
Japan Real Estate Investment;Japan;;;
Japan Tobacco Inc.;Japan;;;
JCDECAUX SE;France;;;
JD Sports Fashion;United Kingdom;;;
Jerónimo Martins SGPS SA;Portugal;;;
John Sisk & Son (Holdings) Ltd;Ireland;;;
Johnson Controls International plc;Ireland;;;
Joshin Denki Co.,Ltd.;Japan;;;
JTEKT Corporation;Japan;;;
Jungheinrich AG;Germany;;;
Juroku Financial Group,Inc.;Japan;;;
JVCKENWOOD Corporation;Japan;;;
Kagome Co., Ltd.;Japan;;;
Kalmar Oyj;Finland;;;
Kaon Group Co., Ltd.;Korea (The Republic of);;;
Kasikornbank;Thailand;;;
Kaufman & Broad Sa;France;;;
KAUTEX TEXTRON GMBH & CO. KG;Germany;;;
Kawasaki Kisen Kaisha, Ltd.;Japan;;;
KB Financial Group;Korea (The Republic of);;;
KBC Groep;Belgium;;;
KBR Inc;United States of America;;;
KDDI Corporation;Japan;;;
Kering;France;;;
Kerry Group plc;Ireland;;;
Kewpie Corporation;Japan;;;
KGI Financial Holding Co., Ltd.;Taiwan, China;;;
Kier Group;United Kingdom;;;
Kikkoman Corporation;Japan;;;
Kingfa Sci. & Tech. Co., Ltd.;Mainland China;;;
Kingfisher;United Kingdom;;;
Kintetsu World Express, Inc.;Japan;;;
Kirin Holdings Co Ltd;Japan;;;
Kissei Pharmaceutical Co., Ltd.;Japan;;;
Klabin S/A;Brazil;;;
Klepierre;France;;;
Knorr-Bremse AG;Germany;;;
Kobe Steel, Ltd.;Japan;;;
Kojima Co.,Ltd.;Japan;;;
Kokusai Electric Corporation;Japan;;;
Kolon Industries, Inc.;Korea (The Republic of);;;
Komatsu Ltd.;Japan;;;
Kone Oyj;Finland;;;
Konecranes;Finland;;;
Konica Minolta, Inc.;Japan;;;
Koninklijke KPN NV (Royal KPN);Netherlands;;;
Koninklijke Philips NV;Netherlands;;;
KORDSA TEKNİK TEKSTİL A.Ş.;Türkiye;;;
Korea Midland Power;Korea (The Republic of);;;
Korea South-East Power;Korea (The Republic of);;;
KOROZO PACKAGING LTD;Türkiye;;;
KOSE Corporation;Japan;;;
KT&G;Korea (The Republic of);;;
Kubota Corporation;Japan;;;
Kumagai Gumi Co Ltd;Japan;;;
Kunshan Rihui Packing Articles Co., Ltd.;Mainland China;;;
KYB Corporation;Japan;;;
Kyocera Corporation;Japan;;;
La Banque Postale;France;;;
LAMI PACKAGING (KUNSHAN) CO., LTD.;Mainland China;;;
Landsec;United Kingdom;;;
LANSINOH LABORATORIES;United States of America;;;
LANXESS AG;Germany;;;
LCY CHEMICAL CORP. (LEE CHANG YUNG CHEMICAL INDUSTRY CORPORATION);Taiwan, China;;;
Legal and General;United Kingdom;;;
Legrand SA;France;;;
LENOVO GROUP LIMITED;Mainland China;;;
Lenzing AG;Austria;;;
Leonardo S.p.a;Italy;;;
LG Display;Korea (The Republic of);;;
LG Innotek;Korea (The Republic of);;;
LG Uplus;Korea (The Republic of);;;
LIMAK CIMENTO SANAYI VE TICARET ANONIM SIRKETI;Türkiye;;;
Lock&Lock Co. Ltd.;Korea (The Republic of);;;
Logitech Europe S.A.;Switzerland;;;
Lojas Renner S.A.;Brazil;;;
L'Oréal;France;;;
Lotte Fine Chemical;Korea (The Republic of);;;
Luxshare Precision Industry Co., Ltd.;Mainland China;;;
LVMH;France;;;
LY Corporation;Japan;;;
LyondellBasell Industries N.V.;United States of America;;;
MAHLE GmbH;Germany;;;
Maicerias Españolas S.A. (Dacsa Group);Spain;;;
MALLADI DRUGS AND PHARMACEUTICALS LIMITED;India;;;
Manila Water Company;Philippines;;;
MAPFRE;Spain;;;
MARCEGAGLIA STEEL SPA;Italy;;;
Marfrig Global Foods S/A;Brazil;;;
Marubeni Corporation;Japan;;;
Marui Group Co., Ltd.;Japan;;;
MATSUDA SANGYO Co.,Ltd.;Japan;;;
MAVİ GİYİM SANAYİ VE TİCARET A.Ş.;Türkiye;;;
Mayr-Melnhof Karton Aktiengesellschaft;Austria;;;
Mazda Motor Corporation;Japan;;;
McKinsey & Company, Inc.;United States of America;;;
Mega Financial Holding;Taiwan, China;;;
Meiji Yasuda Life Insurance Company;Japan;;;
Mercialys;France;;;
MERRY ELECTRONICS CO. LTD.;Taiwan, China;;;
Metsä Board Corporation;Finland;;;
Mettler-Toledo International Inc.;United States of America;;;
Michelin;France;;;
MİGROS TİCARET A.Ş.;Türkiye;;;
Minebea Mitsumi Inc.;Japan;;;
Mingfeng Packaging;Mainland China;;;
Mirae Asset Securities;Korea (The Republic of);;;
MITIE Group;United Kingdom;;;
MITSUBA CORPORATION;Japan;;;
MITSUBISHI CHEMICAL GROUP CORPORATION;Japan;;;
Mitsubishi Corporation;Japan;;;
Mitsubishi Electric Corporation;Japan;;;
