sbti_id;company_name
40011121;AMADA CO.,LTD.
40000049;Amadeus IT Group
40004073;AMAG Group AG
40013519;AMAGGI
40009038;Amalgamated Bank
40006487;Amalgamated Construction Ltd
40015390;Amarant Bakkersholding B.V.
40010768;Amazon
40006837;Ambev S.A.
40012628;Ambu
40009408;Ambuja Cements Ltd
40007573;AMC Natural Drinks
40001916;Amcor plc
40000996;Amdocs Ltd.
40002461;Amer Sports Corporation
40015933;America Movil, S.A.B. de C.V.
40005666;American Airlines
40015944;American Axle & Manufacturing, Inc.
40006741;American Eagle Outfitters, Inc.
40006753;Seagate Technology
40011545;American Express Company
40001533;American Express Global Business Travel
40001600;American Packaging Corporation
40002602;American Tower Corporation
40008807;Americanas S.A.
40008822;Americold Realty Trust
40001254;Cencora
40001298;Amey UK Limited
40005343;AMF FASTIGHETER AB
40013586;Amgen Inc.
40001171;AMICULUM Limited
40010248;Ammper Energía S.A.P.I de C.V
40013440;AMOREPACIFIC CORPORATION
40015223;AMP Wealth Management New Zealand
40007023;AMS
40002405;An Post
40003080;ANA Holdings Inc.
40005798;Ana Luisa
40014953;Anabas UK2 Ltd
40000989;ANADOLU ISUZU OTOMOTİV SAN. VE TİC. A.Ş.
40000069;Analog Devices, Inc.
40002791;Anchor Glass Container Corporation
40003457;Andechser Molkerei Scheitz GmbH
40007647;Andera Partners
40002835;Andrew Scott Ltd
40003344;ANDRITZ
40015078;Anhui Yugong wear resistant material technology Co., Ltd.
40004056;Anora Group Plc
40014002;Anritsu Corporation
40012687;ANTA Sports Products Limited
40008135;Antea Nederland B.V.
40011861;Elevance Health
40015919;Anthesis Group
40009086;Anxi Changxin Mining Machinery Parts Manufacturing Co., Ltd
40011643;AnyJunk Limited
40014665;aoito soken Co., Ltd.
40005785;APACHE FOOTWEAR LIMITED
40015958;APERAM S.A.
40006903;apetito (UK) Limited
40004584;APG|SGA Allgemeine Plakatgesellschaft AG
40016078;API Restauration
40000193;APL Apollo Tubes Limited
40006251;APL Logistics LTD
40009056;Apoteket AB
40002364;APP Sinar Mas
40003824;Appen Limited
40003329;Apple, Inc.
40007245;Applied Materials
40014407;Applus Services, S.A
40011855;Apraava Energy Private Limited
40015491;AptarGroup Inc.
40006689;APTIM
40005379;Aptiv PLC
40003470;Aqua America
40004411;Arab Printing Press
40009499;Aragen Life Sciences Limited
40008210;Aramark
40011441;Aramex Group
40013282;Arauco
40004105;Arburg GmbH + Co KG
40011640;ARC Alternative and Renewable Construction LLC
40003803;ARC CO., LTD.
40015692;Arc Legal Group
40000208;Arc'teryx Equipment, a division of Amer Sports Canada Inc.
40005005;Arca Continental S.A.B. de C.V
40008599;Arcade Beauty
40014503;Arcadis NV
40008292;Arcadyan Technology Corporation
40003247;ARÇELİK A.Ş.
40012899;Arcelor Mittal
40014062;Archroma International Ltd
40005275;Arcus FM Limited
40000511;Ardagh Glass Packaging Holding Sarl
40007866;Ardagh Metal Packaging S.A.
40004271;Arendals Fossekompani ASA
40004546;ARESTI CHILE WINE S.A.
40006384;Arezzo & Co
40005007;ARGOS WITYU PARTNERS S.A.
40009246;Aristocrat Leisure Limited
40009126;Aritzia LP
40010532;Arjeplog Hotel Silverhatten AB
40006974;Arjo AB
40002841;Arkema
40012149;Arkhangelsk Pulp and Paper Mill
40008484;Arla Foods
40011431;Armada Supply Chain Solutions, LLC
40003319;Armando Alvarez Group
40006451;Armstrong Engineering Limited
40012879;Armstrong World Industries, Inc.
40012803;AROC･SANWA Co.,Ltd.
40007417;ARROW-M CO., LTD.
40006088;Arteche
40015719;Artelia
40001623;Arthur Cox LLP
40006563;Arthur D. Little
40009207;Artistic Fabric Mills (Pvt.) Ltd.
40006900;Artistic Garment Industries (AGI Denim)
40006799;Artistic Milliners
40008389;Artwell Holdings Ltd
40003840;Arup Group Ltd.
40001199;Arvid Nordquist HAB
40002529;Arvind Limited
40007677;As Çelik Döküm Işleme San. ve Tic. A.S.
40007812;Scientific Group Ltd
40010097;Asahi Europe & International
40013873;ASAHI FIBER INDUSTRY CO., LTD.
40001092;Asahi Group Company Limited
40012157;Asahi Group Holdings Ltd.
40008749;Asahi Woodtec Co., Ltd.
40006390;AsahiKasei Co.Ltd.
40009301;Ascentech K.K.
40010317;Ascot Services UK Ltd
40014227;Asda Group Limited
40003773;ASE Technology Holding, Co., Ltd.
40000786;ASGN Incorporated
40001414;Ashland Inc.
40002048;Asia Air Survey Co.,Ltd.
40003192;Asia Pacific Rayon
40009568;Asia Specific Enterprises Ltd.
40006933;Asia Vital Components (Shenzhen) Co., Ltd.
40004803;Asian Apparels ltd
40001802;Asian Power Devices Inc.
40006004;ASICS Corporation
40002362;Asker Healthcare Group AB
40000057;ASKON DEMIR CELIK SANAYI TICARET AS
40003026;ASKUL Corporation
40005205;ASL Global Limited
40007684;ASM International N.V.
40006125;ASML Holdings
40021798;ASOS
40015756;Asper Investment Management
40000122;ASR Group International Inc.
40011056;Assa Abloy AB
40006848;ASSYSTEM
40013428;Astellas Pharma Inc.
40009009;ASTM S.p.A.
40005983;Aston Martin Lagonda Global Holdings PLC
40007122;Astorg
40001319;AstraZeneca
40015366;Asuene Inc.
40005122;ASUSTEK COMPUTER INC.
40015460;ASX Limited
40012866;AT & S (Austria Technologie und Systemtechnik AG)
40013776;AT&T Inc.
40007153;Atea
40012635;Ateme
40002195;Mundys
40014418;Atlantic Corporation of Wilmington, Inc.
40008940;Atlantica Sustainable Infrastructure PLC
40016060;Atlas Copco AB
40005871;Atlas Export Enterprises
40008806;Atlas Honda Limited
40006398;Atlassian Corporation
40003798;ATOM LIVIN TECH Co., Ltd.
40010542;Atomic Austria GmbH
40016053;Atos SE
40000773;Atresmedia Corporación de Medios de Comunicación, S.A
40004914;Atria plc
40000103;Attacq Limited
40002487;Aubay
40013977;Auchan Retail
40001797;AUO Corporation
40004721;Audley Travel
40015385;AUGA group, AB
40011963;Auger Site Investigations Limited
40000753;Aurubis AG
40007299;Ausgrid Group
40004672;Australian Broadcasting Corporation
40013060;Australian Ethical Investment
40007674;Australian Postal Corporation
